Recipient ISO-3,Flow Type
AFG,ODA
AFG,ODA
AFG,ODA
AFG,ODA
AFG,ODA
AFG,ODA
AFG,ODA
AFG,ODA
AFG,ODA
AFG,ODA
AFG,ODA
AFG,ODA
AFG,ODA
AFG,ODA
AFG,ODA
AFG,ODA
ALB,ODA
ALB,ODA
ALB,ODA
DZA,ODA
DZA,ODA
DZA,ODA
AGO,OOF
AGO,ODA
AGO,ODA
ATG,ODA
ATG,ODA
ATG,ODA
ARG,OOF
ARG,ODA
ARG,OOF
ARG,ODA
ARG,OOF
ARG,OOF
ARG,OOF
ARG,ODA
ARG,OOF
ARG,OOF
ARG,OOF
ARG,OOF
ARG,OOF
ARG,OOF
ARM,ODA
ARM,ODA
ARM,ODA
ARM,ODA
AZE,ODA
AZE,OOF
AZE,OOF
AZE,OOF
BHS,ODA
BHS,ODA
BHS,ODA
BHS,ODA
BHS,ODA
BHS,ODA
BGD,OOF
BGD,OOF
BGD,OOF
BGD,ODA
BGD,ODA
BGD,ODA
BGD,ODA
BGD,ODA
BGD,ODA
BGD,ODA
BGD,ODA
BRB,ODA
BRB,ODA
BLR,ODA
BLR,OOF
BLR,ODA
BLR,ODA
BLR,ODA
BLR,ODA
BLR,ODA
BLR,ODA
BLR,ODA
BLR,ODA
BEN,OOF
BEN,ODA
BEN,ODA
BEN,ODA
BEN,ODA
BEN,ODA
BEN,ODA
BEN,ODA
BEN,ODA
BEN,ODA
BEN,ODA
BEN,OOF
BOL,ODA
BOL,ODA
BOL,ODA
BOL,ODA
BOL,ODA
BOL,ODA
BOL,ODA
BOL,ODA
BOL,ODA
BOL,ODA
BOL,ODA
BOL,ODA
BOL,ODA
BOL,ODA
BOL,ODA
BOL,ODA
BOL,ODA
BIH,OOF
BIH,OOF
BIH,ODA
BIH,ODA
BIH,ODA
BIH,ODA
BIH,ODA
BIH,ODA
BIH,ODA
BWA,ODA
BWA,ODA
BWA,ODA
BWA,ODA
BWA,ODA
BWA,ODA
BWA,ODA
BWA,ODA
BRA,OOF
BRA,OOF
BRA,OOF
BRA,OOF
BRA,ODA
BRA,ODA
BRA,ODA
BRA,ODA
BRA,ODA
BRA,ODA
BRA,ODA
BRN,ODA
BRN,ODA
BRN,ODA
BRN,ODA
BRN,ODA
BRN,ODA
BRN,ODA
BRN,ODA
BFA,OOF
BFA,ODA
BFA,ODA
BFA,ODA
BFA,ODA
BFA,ODA
BFA,ODA
BFA,ODA
BFA,ODA
BFA,ODA
BDI,ODA
BDI,ODA
BDI,ODA
BDI,ODA
BDI,ODA
BDI,ODA
BDI,ODA
BDI,ODA
BDI,ODA
BDI,ODA
BDI,ODA
BDI,ODA
CPV,ODA
CPV,ODA
CPV,ODA
KHM,OOF
KHM,OOF
KHM,OOF
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
KHM,OOF
KHM,ODA
KHM,ODA
KHM,ODA
KHM,ODA
CMR,OOF
CMR,ODA
CMR,ODA
CMR,ODA
CMR,ODA
CMR,ODA
CMR,ODA
CAF,ODA
CAF,ODA
CAF,ODA
CAF,ODA
CAF,ODA
CAF,ODA
CAF,OOF
TCD,ODA
TCD,ODA
TCD,ODA
TCD,ODA
CHL,OOF
CHL,OOF
CHL,OOF
CHL,OOF
CHL,ODA
CHL,ODA
CHL,ODA
CHL,ODA
CHL,ODA
CHL,ODA
CHL,ODA
CHL,ODA
CHL,ODA
CHL,ODA
CHL,ODA
CHL,ODA
CHL,ODA
CHL,OOF
CHL,OOF
CHL,OOF
COL,ODA
COL,ODA
COL,OOF
COL,OOF
COL,ODA
COM,ODA
COM,ODA
COM,ODA
COM,ODA
COM,ODA
COM,ODA
COG,ODA
COG,ODA
COG,ODA
COG,ODA
COG,ODA
COG,ODA
COK,ODA
COK,ODA
CRI,ODA
CRI,ODA
CRI,ODA
CRI,ODA
CIV,OOF
CIV,ODA
CIV,ODA
CIV,ODA
CUB,ODA
CUB,ODA
CUB,ODA
CUB,ODA
CUB,ODA
CUB,ODA
CUB,ODA
CUB,ODA
CUB,ODA
CUB,ODA
COD,ODA
COD,ODA
COD,ODA
COD,ODA
DJI,ODA
DJI,ODA
DJI,ODA
DJI,ODA
DJI,ODA
DMA,ODA
DMA,ODA
DMA,OOF
DMA,ODA
DMA,ODA
DMA,ODA
DMA,ODA
DMA,ODA
DMA,ODA
DMA,ODA
DMA,ODA
DMA,ODA
DOM,ODA
DOM,ODA
DOM,ODA
DOM,ODA
DOM,ODA
DOM,ODA
DOM,ODA
ECU,ODA
ECU,ODA
ECU,ODA
ECU,ODA
ECU,ODA
ECU,ODA
ECU,ODA
ECU,ODA
ECU,ODA
ECU,ODA
ECU,ODA
ECU,ODA
ECU,ODA
ECU,ODA
ECU,ODA
EGY,OOF
EGY,ODA
EGY,ODA
EGY,ODA
EGY,ODA
EGY,ODA
EGY,OOF
EGY,OOF
EGY,OOF
SLV,OOF
SLV,ODA
SLV,ODA
SLV,ODA
SLV,ODA
SLV,ODA
GNQ,ODA
GNQ,ODA
GNQ,ODA
GNQ,ODA
GNQ,ODA
GNQ,ODA
GNQ,ODA
GNQ,ODA
GNQ,ODA
GNQ,ODA
GNQ,OOF
ERI,ODA
ETH,ODA
ETH,ODA
ETH,ODA
ETH,ODA
ETH,ODA
ETH,ODA
ETH,ODA
ETH,ODA
ETH,ODA
ETH,ODA
FJI,ODA
FJI,ODA
FJI,ODA
FJI,ODA
FJI,ODA
FJI,ODA
FJI,ODA
FJI,ODA
FJI,ODA
FJI,ODA
GAB,OOF
GAB,ODA
